Executive Committee,20023
A-7,7687
Abington,30532
Accounting Society,17323
Administrative Assistant,20894
Alliance Christian Fellowship,16859
Alpha Epsilon Delta,19798
Alpha Kappa Psi,16068
Alpha Phi Omega,17752
Altoona,10774
Alumni Outreach 1,10536
Alumni Outreach 2,21571
AMERICAN HELICOPTER SOCIETY,12321
American Institute of Architecture Students,8217
American Institute of Chemical Engineers,17754
American Nuclear Society,18988
Anchored,5057
APICS The Association for Operations Management Penn State Student Affiliate Chapter,28089
Apollo,17248
Arnold Air Society,16524
ASCEND,34435
Association of Residence Hall Students (ARHS),22686
Atlas,21481
Axis,38332
Ayuda,30491
Beaver,21555
Bee House,27966
Behrend,6332
Berks,19834
Best Buddies,34149
Beta Alpha Psi,16756
Biobehavioral Health Society,28073
Biological Honor Society,14273
Biomedical Engineering Society,17368
Blue & White Society,37076
Blue Band,27668
Boulevard,15153
Bounce Dance Organization,14910
BOXING,38291
Brandywine,37355
Bridges to Prosperity,34666
Business and Society House,14137
Chinese Students and Scholars Association,7328
CHINESE UNDERGRADUATE STUDENT ASSOCIATION,23078
Circle K,8750
Clown Nose Club,32982
Club Archery,23254
Club Baseball,18915
Club Cheerleading,23808
Club Crew,14096
Club Croquet,5030
Club Cross Country,32002
Club Dodgeball,21252
Club Equestrian,11226
Club Field Hockey,35550
Club Figure Skating,6927
Club Gymnastics,14967
Club Powerlifting,18397
Club Quidditch,28771
Club Sailing,26382
Club Ski,31973
Club Snowboard,26224
Club Softball,7312
Club Swimming,13053
Club Taekwondo,11078
Club Tennis,11205
Club Track and Field,30000
Club Trap & Skeet Club,21552
Club Western Equestrian,22992
Club Wiffleball,38488
Club Wrestling,7848
College Democrats,13272
College of Earth and Mineral Science Student Council,23243
College of Information Sciences and Technology Student Government (IST Student Government),36126
College Republicans,37561
Committee Outreach Coordinator,16832
Common benefiting THON,11423
Commonwealth Campus Liaison,19391
Communications - Commonwealth Outreach,28974
Communications - Faculty & Staff Outreach,21793
Communications - Student Outreach,31578
Corporate Innovations and Entrepreneurship Society CIES,22168
Cru,27018
Dance Alliance,29024
Dance Team (Lionettes),19136
Dancer Logistics,13938
Dancer Registration/Medical Services (1),34468
Dancer Registration/Medical Services (2),12106
Dancer Storage (1),14572
Dancer Storage (2),5285
Dancer Wellness,24359
DAR Donor Outreach 1,35725
DAR Donor Outreach 2,7966
DAR Donor Outreach 3,37245
DAR Donor Outreach 4,15115
Dash,13994
Delta Sigma Pi,26854
Domani,35201
Donor Outreach 1,32422
Donor Outreach 2,39162
Donor Outreach 3,27207
Donor Outreach 4,26343
Dubois,9538
EARTH House,24038
Eberly College of Science Student Council,34019
Eclipse,11038
Electronic Dance Music Club,7126
Emergency Medical Services Association,14964
Encore,23872
Engineering and Applied Science Interest House (EASI House),7695
Engineering House,24796
ENGINEERING UNDERGRADUATE STUDENT COUNCIL,5956
Engineers for a Sustainable World,26918
ENGINEERS WITHOUT BORDERS AT PENN STATE,12996
Ent - Crowd 1,14369
ENT- Crowd 2,9070
Epsilon Sigma Alpha (ESA),35052
Essence of Joy,19526
Events Coordinator (1),9455
Events Coordinator (2),20807
Everyday,36569
Executive Committee,26056
Family Relations Liaison,7138
Fayette,24689
Filipino Association,20351
Finance - Gift Entry 1,36848
Finance - Gift Entry 2,5606
Finance - Gift Entry 3,10886
Finance - Gift Entry 4,29582
Finance - Gift Entry 5,25484
Finance Society,36232
Fireman's Association (PSUFA),15011
FORENSIC SCIENCE CLUB,36214
FOTO,15806
Futures,20036
Glee Club,29862
Global Brigades Campus Council,22755
Greater Allegheny,37605
Harrisburg,36625
Hazleton,26102
HEAL,27644
Health Policy and Administration Club,7703
Hershey Kisses For The Kids,38513
Hershey Medical Center,5461
Hillel,29244
Hospitality - Admin/GOL,8113
Hospitality - Cadet Liaison/Development,20361
Hospitality - Captain Meals,18152
Hospitality - CEC/Inventory,26613
Hospitality - Community Outreach/Logistics,21839
Hospitality - Concessions/ICL,20922
Hospitality - Dancer Meals,19776
Hospitality - Family Meals/Beverages,17458
Hospitality - Intermediate Meals,18905
Hospitality - Promotions,10534
Impact,22024
INFINITY,15170
Inter-Committee Liaison,25017
Inter-committee Liaison & Events Coordinator,38692
INTERNATIONAL AFFAIRS AND DEBATE ASSOCIATION,35975
International Business Association,37588
Italian Student Society,38173
Kaizen,39720
Kappa Phi,36787
Kinesiology Club,15040
Korean Investment Business Club (KIBC),19360
Korean Student Association,24732
LANDSCAPE ARCHITECTURE STUDENT SOCIETY (LASS),39008
Lehigh Valley,14400
Liberal Arts Undergraduate Council,7277
Lion Ambassadors,19919
Lion's Paw,27654
Mail Call (1),29234
Mail Call (2),8797
Malaysian Students Club,14867
Marketing Association,26582
Mens Club Basketball,8734
Mens Club Lacrosse,26626
Mens Club Soccer,34892
Mens Club Ultimate Frisbee,7524
Mens Club Water Polo,29949
Merchandise - Distribution,23329
Merchandise - Order Management,18450
Merchandise - Storage,30497
Mexican-American Student Association,8814
Millennium Society,26556
Monarch,39434
Mont Alto,19053
Multicultural Undergraduate Law Association (MULA),20788
Multicultural Women's Forum,28971
National Association for the Advancement of Colored People (NAACP),29645
National Association of Black Accountants,7125
National Honor Society for Dance Arts: Penn State Chapter (NHSDA),36315
National Society of Black Engineers,32983
NATIONAL SOCIETY OF LEADERSHIP AND SUCCESS,23958
National Student Speech Language Hearing Association,17934
Navigators,35069
New Kensington,14974
Newman Catholic Student Association,34578
No Refund Theatre,39605
Off Campus Student Union,30802
Ohana,11283
Operation Blue and Gold,31465
OPPerations - Administrative Assistance / SOS,16835
OPPerations - BSR: Engagement,10760
OPPerations - BSR: Involvement,33694
OPPerations - CMO: Alternative Fundraisers,18336
OPPerations - CMO: Communications,8057
OPPerations - Construction (1),34980
OPPerations - Construction (2),30695
OPPerations - Dancer Relations Liaison,17742
OPPerations - Inspiration,18160
OPPerations - Logistics (1),16316
